SbjNum,Area,Sex,Ethnicity,Age,Status,SchoolYrs
16186027,Rural,Female,Indigenous,15,Single,7
16186028,Rural,Male,Indigenous,23,Single,15
16186029,Rural,Male,Non-indigenous,18,Single,8
16186030,Rural,Female,Indigenous,18,Single,9
16186031,Urban,Male,Indigenous,22,Single,16
16186033,Rural,Female,Non-indigenous,17,Single,9
16186034,Rural,Female,Non-indigenous,15,Single,9
16186035,Rural,Male,Non-indigenous,16,Single,6
16186036,Rural,Male,Indigenous,21,Married,6
16186037,Rural,Male,Indigenous,17,Single,10
16186038,Urban,Male,Indigenous,21,Married,0
16186248,Urban,Male,Indigenous,21,Single,12
16186249,Rural,Female,Indigenous,15,Single,9
16186250,Rural,Male,Indigenous,16,Single,8
16186251,Rural,Male,Non-indigenous,24,Single,11
16186253,Urban,Male,Indigenous,15,Single,9
16186254,Urban,Male,Indigenous,16,Single,9
16186255,Rural,Female,Indigenous,23,Single,9
16186256,Rural,Male,Non-indigenous,21,Married,4
16186257,Urban,Male,Non-indigenous,24,Married,2
16186258,Rural,Male,Indigenous,20,Single,10
16186259,Rural,Female,Indigenous,16,Single,7
16186260,Rural,Male,Indigenous,21,Single,12
16186261,Rural,Female,Indigenous,24,Single,12
16186262,Rural,Male,Indigenous,18,Single,10
16186263,Urban,Male,Indigenous,20,Single,9
16186264,Urban,Male,Non-indigenous,16,Single,10
16186265,Rural,Female,Non-indigenous,17,Single,11
16186266,Rural,Male,Non-indigenous,15,Single,8
16186270,Rural,Female,Indigenous,16,Single,7
16186271,Rural,Female,Indigenous,20,Married,9
16186272,Rural,Male,Indigenous,15,Single,8
16186298,Rural,Female,Indigenous,15,Single,8
16186299,Rural,Female,Indigenous,22,Married,5
16186300,Rural,Female,Non-indigenous,22,Single,2
16186301,Rural,Male,Non-indigenous,17,Single,11
16206791,Rural,Female,Non-indigenous,17,Single,10
16206792,Rural,Male,Indigenous,15,Single,8
16206801,Rural,Female,Non-indigenous,24,Single,3
16206802,Rural,Female,Non-indigenous,16,Single,7
16206803,Rural,Male,Indigenous,15,Single,9
16206804,Rural,Male,Indigenous,22,Married,12
16206805,Rural,Male,Non-indigenous,18,Single,6
16206808,Urban,Female,Indigenous,15,Single,6
16206809,Urban,Female,Indigenous,22,Married,12
16206810,Urban,Male,Indigenous,22,Single,6
16206811,Rural,Female,Non-indigenous,15,Single,5
16206812,Rural,Female,Non-indigenous,21,Married,6
16206813,Rural,Male,Non-indigenous,20,Single,12
16206814,Rural,Female,Indigenous,24,Married,3
16206817,Rural,Female,Non-indigenous,23,Married,8
16206818,Rural,Male,Indigenous,19,Married,10
16206819,Rural,Male,Indigenous,23,Single,8
